team_1,team_2,team_1_win,team_2_win
Atlanta Hawks,Boston Celtics,2,1
Atlanta Hawks,Brooklyn Nets,2,1
Atlanta Hawks,Charlotte Hornets,4,0
Atlanta Hawks,Chicago Bulls,2,2
Atlanta Hawks,Cleveland Cavaliers,2,1
Atlanta Hawks,Dallas Mavericks,0,2
Atlanta Hawks,Denver Nuggets,0,2
Atlanta Hawks,Detroit Pistons,1,3
Atlanta Hawks,Golden State Warriors,1,1
Atlanta Hawks,Houston Rockets,0,2
Atlanta Hawks,Indiana Pacers,2,1
Atlanta Hawks,Los Angeles Clippers,0,2
Atlanta Hawks,Los Angeles Lakers,1,1
Atlanta Hawks,Memphis Grizzlies,1,1
Atlanta Hawks,Miami Heat,2,3
Atlanta Hawks,Milwaukee Bucks,3,2
Atlanta Hawks,Minnesota Timberwolves,1,1
Atlanta Hawks,New Orleans Pelicans,2,0
Atlanta Hawks,New York Knicks,2,3
Atlanta Hawks,Oklahoma City Thunder,0,2
Atlanta Hawks,Orlando Magic,2,3
Atlanta Hawks,Philadelphia 76ers,3,0
Atlanta Hawks,Phoenix Suns,1,1
Atlanta Hawks,Portland Trail Blazers,0,2
Atlanta Hawks,Sacramento Kings,1,1
Atlanta Hawks,San Antonio Spurs,0,2
Atlanta Hawks,Toronto Raptors,1,2
Atlanta Hawks,Utah Jazz,2,0
Atlanta Hawks,Washington Wizards,2,2
Boston Celtics,Brooklyn Nets,4,0
Boston Celtics,Charlotte Hornets,4,0
Boston Celtics,Chicago Bulls,3,1
Boston Celtics,Cleveland Cavaliers,2,2
Boston Celtics,Dallas Mavericks,1,1
Boston Celtics,Denver Nuggets,2,0
Boston Celtics,Detroit Pistons,3,1
Boston Celtics,Golden State Warriors,1,1
Boston Celtics,Houston Rockets,1,1
Boston Celtics,Indiana Pacers,1,2
Boston Celtics,Los Angeles Clippers,2,0
Boston Celtics,Los Angeles Lakers,1,1
Boston Celtics,Memphis Grizzlies,1,1
Boston Celtics,Miami Heat,3,1
Boston Celtics,Milwaukee Bucks,3,0
Boston Celtics,Minnesota Timberwolves,2,0
Boston Celtics,New Orleans Pelicans,2,0
Boston Celtics,New York Knicks,4,0
Boston Celtics,Oklahoma City Thunder,0,2
Boston Celtics,Orlando Magic,3,2
Boston Celtics,Philadelphia 76ers,3,1
Boston Celtics,Phoenix Suns,2,0
Boston Celtics,Portland Trail Blazers,2,0
Boston Celtics,Sacramento Kings,1,1
Boston Celtics,San Antonio Spurs,2,0
Boston Celtics,Toronto Raptors,3,1
Boston Celtics,Utah Jazz,2,0
Boston Celtics,Washington Wizards,4,0
Brooklyn Nets,Charlotte Hornets,3,1
Brooklyn Nets,Chicago Bulls,1,2
Brooklyn Nets,Cleveland Cavaliers,0,4
Brooklyn Nets,Dallas Mavericks,1,1
Brooklyn Nets,Denver Nuggets,0,2
Brooklyn Nets,Detroit Pistons,0,3
Brooklyn Nets,Golden State Warriors,1,1
Brooklyn Nets,Houston Rockets,2,0
Brooklyn Nets,Indiana Pacers,1,3
Brooklyn Nets,Los Angeles Clippers,0,2
Brooklyn Nets,Los Angeles Lakers,1,1
Brooklyn Nets,Memphis Grizzlies,2,1
Brooklyn Nets,Miami Heat,1,2
Brooklyn Nets,Milwaukee Bucks,3,1
Brooklyn Nets,Minnesota Timberwolves,0,2
Brooklyn Nets,New Orleans Pelicans,2,0
Brooklyn Nets,New York Knicks,0,4
